code;name;url;active-ingredient;laboratory
P00012420;ACLARA-T EVOLUTION;https://pe.ivademecum.com/medicamento-aclara-t-evolution-cooper-cod-B14E34A79C31DC1C;Dermatocosméticos;LA COOPER
P00012421;ACLARA-T PLUS;https://pe.ivademecum.com/medicamento-aclara-t-plus-cooper-cod-F214E7B8E0738A56;;LA COOPER
P00012422;ACLASTA;https://pe.ivademecum.com/medicamento-aclasta-novartis-pharma-cod-D3E3444DFA7FFB28;Medicamentos c/acción sobre metabolismo óseo;NOVARTIS PHARMA
P00012423;ACLOSAN;https://pe.ivademecum.com/medicamento-aclosan-albis-consumo-cod-6DC5625E42AE52B8;Antimicóticos;ALBIS CONSUMO
P00012424;ACNE-AID;https://pe.ivademecum.com/medicamento-acne-aid-stiefel-cod-38DCF51B1FC3109F;Antiacneicos;STIEFEL
P00012425;ACNEBIOT;https://pe.ivademecum.com/medicamento-acnebiot-iqfarma-cod-58650A8AFE2C46CE;Antibióticos;IQFARMA
P00012426;ACNECLIN 100 AP;https://pe.ivademecum.com/medicamento-acneclin-100-ap-siegfried-cod-8573B9418BED12F6;Antibióticos;SIEGFRIED
P00012427;ACNIBEN RX;https://pe.ivademecum.com/medicamento-acniben-rx-abl-pharma-cod-757658EB934A98C7;Dermatocosméticos;ABL PHARMA
P00012428;ACNIBEN RX REPARADOR LABIAL;https://pe.ivademecum.com/medicamento-acniben-rx-reparador-labial-abl-pharma-cod-2F5D7EE4728844C4;Protectores labiales;ABL PHARMA
P00012429;ACNIBEN T. HIGIENICAS;https://pe.ivademecum.com/medicamento-acniben-t-higienicas-abl-pharma-cod-783459E29CFFEB09;;ABL PHARMA
P00012430;ACNIFEN;https://pe.ivademecum.com/medicamento-acnifen-haus-hoffen-cod-13A16EB13A7982F8;Antiacneicos;HAUS HOFFEN
P00012431;ACNOMEL;https://pe.ivademecum.com/medicamento-acnomel-farpasa-cod-1CA27C703FD175F6;Antiacneicos;FARPASA
P00012432;ACNOMEL CREMA NOCTURNA;https://pe.ivademecum.com/medicamento-acnomel-crema-nocturna-farpasa-cod-C77B5FB9CD4A0FE5;Antiacneicos;FARPASA
P00012433;ACNOMEL GRANULOS LIMPIADORES;https://pe.ivademecum.com/medicamento-acnomel-granulos-limpiadores-farpasa-cod-9592124887908E87;Antiacneicos;FARPASA
P00012434;ACNOTIN;https://pe.ivademecum.com/medicamento-acnotin-bago-cod-179B20F52673F96A;Antiacneicos;BAGO
P00012435;ACT-HIB;https://pe.ivademecum.com/medicamento-act-hib-sanofi-pasteur-cod-263AD5B578EFAF5C;Vacunas;SANOFI PASTEUR
P00012436;ACTEIN;https://pe.ivademecum.com/medicamento-actein-labex-corp-cod-4C710CBF60D7CF2B;Antitusivos, expectorantes, mucolíticos;LABEX CORP.
P00012437;ACTEMRA;https://pe.ivademecum.com/medicamento-actemra-roche-cod-13ED656567C2FAF7;Antirreumáticos;ROCHE
P00012438;ACTERIL - INDUFAR;https://pe.ivademecum.com/medicamento-acteril-indufar-indufar-du-peru-cod-CB0C15D7A39D1F88;Antiasmáticos y broncodilatadores;INDUFAR-DU PERU
P00012439;ACTILYSE;https://pe.ivademecum.com/medicamento-actilyse-boehringer-cod-37275F0D0CAFFBEE;Antitrombóticos;BOEHRINGER
P00012440;ACTIVA 28;https://pe.ivademecum.com/medicamento-activa-28-biosyntec-cod-BF516CF9FFA84FCB;Anticonceptivos y anovulatorios;BIOSYNTEC
P00012441;ACTIVITON-B COMPLEX;https://pe.ivademecum.com/medicamento-activiton-b-complex-pharmatech-cod-23835663B73D337F;Vitaminas, minerales, oligoelementos;PHARMATECH
P00012442;ACTONEL;https://pe.ivademecum.com/medicamento-actonel-sanofi-aventis-cod-24CBC6F1E3DE572A;Medicamentos c/acción sobre metabolismo óseo;SANOFI AVENTIS
P00012443;ACTOS;https://pe.ivademecum.com/medicamento-actos-abbott-cod-1A07334ACC339FED;Hipoglucemiantes orales e inyectables;ABBOTT
P00012444;ACTOS MET;https://pe.ivademecum.com/medicamento-actos-met-abbott-cod-FB33824F195DA556;Hipoglucemiantes orales e inyectables;ABBOTT
P00012445;ACUAFIL OFTENO;https://pe.ivademecum.com/medicamento-acuafil-ofteno-sophia-cod-D5E145BAD7CB55D5;Lágrimas, baños y colirios inespecíficos;SOPHIA
P00012446;ACULAR LS;https://pe.ivademecum.com/medicamento-acular-ls-allergan-cod-C65F6B1DF56CA0E9;Analgésicos oftálmicos;ALLERGAN
P00012447;ACUPAXIL;https://pe.ivademecum.com/medicamento-acupaxil-solutions-m-i-cod-077A55B973CC910E;Otros citostáticos;SOLUTIONS M.I.
P00012448;AD-MUC;https://pe.ivademecum.com/medicamento-ad-muc-merz-cod-86C8D0EBEA3CA621;Dermatocosméticos;MERZ
P00012449;ADACEL;https://pe.ivademecum.com/medicamento-adacel-sanofi-pasteur-cod-1024BF84B5E6FA5A;Vacunas;SANOFI PASTEUR
P00012450;ADALAT 10MG;https://pe.ivademecum.com/medicamento-adalat-10mg-bayer-s-p-cod-DD5A0717E6DDDD39;Antianginosos;BAYER S.P.
P00012451;ADALAT OROS;https://pe.ivademecum.com/medicamento-adalat-oros-bayer-s-p-cod-DF7B33ADDCBEE01A;Antianginosos;BAYER S.P.
P00012452;ADAX;https://pe.ivademecum.com/medicamento-adax-neumobiotics-cod-320AF11BE2F5C066;Analgésicos;NEUMOBIOTICS
P00012453;ADAX FLU;https://pe.ivademecum.com/medicamento-adax-flu-neumobiotics-cod-44DBB171025DB2A4;Analgésicos;NEUMOBIOTICS
P00012454;ADAX FLU FORTE;https://pe.ivademecum.com/medicamento-adax-flu-forte-neumobiotics-cod-CCF0B6CBCAB3D240;Analgésicos;NEUMOBIOTICS
P00012455;ADAZOL;https://pe.ivademecum.com/medicamento-adazol-rowe-cod-DA03D7C9804DC267;Intestinales y genitourinarios;ROWE
P00012456;ADECEROL;https://pe.ivademecum.com/medicamento-adecerol-medifarma-cod-ACCDEC3EDF29E203;Vitaminas, minerales, oligoelementos;MEDIFARMA
P00012457;ADENEX;https://pe.ivademecum.com/medicamento-adenex-tecnofarma-cod-87B161D658C83427;Terapéutica prostática;TECNOFARMA
P00012458;ADENOSIL;https://pe.ivademecum.com/medicamento-adenosil-ceci-farma-cod-50D343CF40A2384E;Antiarrítmicos;CECI FARMA
P00012459;ADEPROST;https://pe.ivademecum.com/medicamento-adeprost-markos-cod-A6700C2C7B58BD19;Terapéutica prostática;MARKOS
P00012460;ADONA (AC-17);https://pe.ivademecum.com/medicamento-adona-ac-17-farmindustria-cod-671DF4014A7A575B;Hemostáticos;FARMINDUSTRIA
P00012461;ADRUSEN CRONO - EUROCHEM;https://pe.ivademecum.com/medicamento-adrusen-crono-eurochem-eurochem-sifi-cod-01F65597B2950A31;Antioxidantes;EUROCHEM-SIFI
P00012462;ADVANTAN;https://pe.ivademecum.com/medicamento-advantan-bayer-s-p-cod-BB14DBA50EB03621;Antialérgicos tópicos;BAYER S.P.
P00012463;ADVANTAN EMULSION;https://pe.ivademecum.com/medicamento-advantan-emulsion-bayer-s-p-cod-897BBC1174D3EA9A;Antialérgicos tópicos;BAYER S.P.
P00012464;ADVANTAN SOLUCION;https://pe.ivademecum.com/medicamento-advantan-solucion-bayer-s-p-cod-71EDCE07DD8A74A8;Antialérgicos tópicos;BAYER S.P.
P00012465;AERIUS;https://pe.ivademecum.com/medicamento-aerius-schering-plough-cod-C3FD7C8AD7864E37;Antialérgicos, antihist., corticoides asoc.;SCHERING PLOUGH
P00012466;AERIUS D12;https://pe.ivademecum.com/medicamento-aerius-d12-schering-plough-cod-344C10D499C6ADCE;Antialérgicos, antihist., corticoides asoc.;SCHERING PLOUGH
P00012467;AERO-OM;https://pe.ivademecum.com/medicamento-aero-om-om-pharma-cod-34B60FBB8D364B06;Antiflatulentos;OM PHARMA
P00012468;AERO-SIM;https://pe.ivademecum.com/medicamento-aero-sim-elifarma-cod-C27B45662A7C47D7;Antiflatulentos;ELIFARMA
P00012469;AERO-SIM COMPUESTO;https://pe.ivademecum.com/medicamento-aero-sim-compuesto-elifarma-cod-C69AD2C24AA06937;Antiespasmódicos;ELIFARMA
P00012470;AEROCORT;https://pe.ivademecum.com/medicamento-aerocort-cipla-cod-E0F2F2A16BC0C113;Antiasmáticos y broncodilatadores;CIPLA
P00012471;AEROFLUX;https://pe.ivademecum.com/medicamento-aeroflux-gsk-cod-F783B9F17C34735B;Antiasmáticos y broncodilatadores;GSK
P00012472;AEROITAN;https://pe.ivademecum.com/medicamento-aeroitan-saval-cod-F2B26BDA50C7A5FD;Antieméticos;SAVAL
P00012473;AEROLER - RANBAXY;https://pe.ivademecum.com/medicamento-aeroler-ranbaxy-ranbaxy-prp-cod-A6EE08CD3D2941A4;Antiasmáticos y broncodilatadores;RANBAXY-PRP
P00012474;AEROMIDE INHALADOR;https://pe.ivademecum.com/medicamento-aeromide-inhalador-elifarma-cod-95CCC2AE7A8006F6;Antiasmáticos y broncodilatadores;ELIFARMA
P00012475;AERONID;https://pe.ivademecum.com/medicamento-aeronid-roemmers-cod-B73FB5D2FBF6338D;Antiasmáticos y broncodilatadores;ROEMMERS
P00012476;AEROTECH COMPUESTO;https://pe.ivademecum.com/medicamento-aerotech-compuesto-neumobiotics-cod-9D0644DBE90C3AB5;Antiasmáticos y broncodilatadores;NEUMOBIOTICS
P00012477;AEROTROP;https://pe.ivademecum.com/medicamento-aerotrop-d-m-pharma-cod-E2BA7862728C007D;Antiasmáticos y broncodilatadores;D&M PHARMA
P00012478;AEROX;https://pe.ivademecum.com/medicamento-aerox-s-j-roxfarma-cod-C2504A79A4205FC4;Antiflatulentos;S.J.ROXFARMA
P00012479;AEROX PLUS;https://pe.ivademecum.com/medicamento-aerox-plus-s-j-roxfarma-cod-F334A5DFEBEA405C;Antiespasmódicos;S.J.ROXFARMA
P00012480;AFEBRIL;https://pe.ivademecum.com/medicamento-afebril-roemmers-cod-82CFC351804299BC;Analgésicos;ROEMMERS
P00012481;AFELIUS 50;https://pe.ivademecum.com/medicamento-afelius-50-siegfried-cod-132CD65C88D76FAB;Protectores solares;SIEGFRIED
P00012482;AFELIUS OIL FREE;https://pe.ivademecum.com/medicamento-afelius-oil-free-siegfried-cod-E7F285760B72532E;Protectores solares;SIEGFRIED
P00012483;AFLAMAX;https://pe.ivademecum.com/medicamento-aflamax-gr-nenthal-cod-18DA31261F6A85E0;Analgésicos;GRÜNENTHAL
P00012484;AFLAREX;https://pe.ivademecum.com/medicamento-aflarex-alcon-cod-F20C67F135EA3000;Antihistamínicos oftálmicos;ALCON
P00012485;AFLAZACORT;https://pe.ivademecum.com/medicamento-aflazacort-abl-pharma-cod-C1FACA1BB9217250;Antialérgicos, antihist., corticoides asoc.;ABL PHARMA
P00012486;AFONITOL CHERRY;https://pe.ivademecum.com/medicamento-afonitol-cherry-quimfa-cod-1D2CC749697761E1;Productos de uso orofaríngeo;QUIMFA
P00012487;AFONITOL EUCALIPTO;https://pe.ivademecum.com/medicamento-afonitol-eucalipto-quimfa-cod-5E78B77C2B6188AC;Productos de uso orofaríngeo;QUIMFA
P00012488;AFONITOL MENTOLADO;https://pe.ivademecum.com/medicamento-afonitol-mentolado-quimfa-cod-2A863DE0B290030F;Productos de uso orofaríngeo;QUIMFA
P00012489;AFONITOL MIEL LIMON;https://pe.ivademecum.com/medicamento-afonitol-miel-limon-quimfa-cod-74280596D519B17E;Productos de uso orofaríngeo;QUIMFA
P00012490;AFONITOL NE;https://pe.ivademecum.com/medicamento-afonitol-ne-quimfa-cod-8308A75EC0D9D0B6;Productos de uso orofaríngeo;QUIMFA
P00012491;AFONITOL TUTTI FRUTTI;https://pe.ivademecum.com/medicamento-afonitol-tutti-frutti-quimfa-cod-E01CA332A05CE07A;Productos de uso orofaríngeo;QUIMFA
P00012492;AFRIN SP;https://pe.ivademecum.com/medicamento-afrin-sp-schering-plough-cod-4BC281F661D5636C;Descongestivos nasales y sistémicos;SCHERING PLOUGH
P00012493;AFTOTEX;https://pe.ivademecum.com/medicamento-aftotex-lukoll-cod-38961E59E6353698;Queratolíticos;LUKOLL
P00012494;AFUMIX;https://pe.ivademecum.com/medicamento-afumix-senosiain-cod-CCA34B1D498D5E7D;Antimicóticos;SENOSIAIN
P00012495;AGAROL SUAVE;https://pe.ivademecum.com/medicamento-agarol-suave-johnson-johnson-cod-E99C75A18B6483D8;Catárticos - Enemas;JOHNSON&JOHNSON
P00012496;AGGLAD OFTENO;https://pe.ivademecum.com/medicamento-agglad-ofteno-sophia-cod-6097BFC739CE99F3;Antiglaucomatosos y mióticos;SOPHIA
P00012497;AGLUTAMIN;https://pe.ivademecum.com/medicamento-aglutamin-scalup-cod-0B85A08158B2BF88;Leches y suplementos dietéticos;SCALUP
P00012498;AGUA BIDESTILADA;https://pe.ivademecum.com/medicamento-agua-bidestilada-sanderson-cod-17E2FA77647EBF7C;;SANDERSON
P00012499;AGUA DE COLONIA DROWA;https://pe.ivademecum.com/medicamento-agua-colonia-drowa-farpasa-cod-A724C665B7E35C40;;FARPASA
P00012500;AGUA DESTILADA PHARMAGEN;https://pe.ivademecum.com/medicamento-agua-destilada-pharmagen-pharmagen-cod-DD84D15416D68A11;;PHARMAGEN
P00012501;AGUA ESTERIL;https://pe.ivademecum.com/medicamento-agua-esteril-baxter-cod-65163C100BF72381;;BAXTER
P00012502;AGUA ESTERIL;https://pe.ivademecum.com/medicamento-agua-esteril-b-braun-cod-15A96B649E0C6713;;B.BRAUN
P00012503;AGUA ESTERIL APIROGENA;https://pe.ivademecum.com/medicamento-agua-esteril-apirogena-trifarma-cod-1A00EE83BDA914B6;;TRIFARMA
P00012504;AGUA ESTERIL PARA INYECTABLE;https://pe.ivademecum.com/medicamento-agua-esteril-inyectable-labot-cod-CF2444761F507134;;LABOT
P00012505;AGUA OXIGENADA 10;https://pe.ivademecum.com/medicamento-agua-oxigenada-10-portugal-cod-FC41AA230212D770;Antisépticos, desinfectantes y cicatrizantes;PORTUGAL
P00012506;AGUA PARA INYECCION;https://pe.ivademecum.com/medicamento-agua-inyeccion-trifarma-cod-59C83376EA1364EB;;TRIFARMA
